FREQ,REF_AREA,DATA_TYPE,SEX,AGE,TIME_PERIOD,Observation,OBS_STATUS
A,IT,JAN,9,TOTAL,2019,4996158,
A,IT,JAN,9,TOTAL,2020,5039637,
A,IT,JAN,9,TOTAL,2021,5171894,
A,IT,JAN,9,TOTAL,2022,5030716,
A,IT,JAN,9,TOTAL,2023,5141341,
A,IT,JAN,9,TOTAL,2024,5253658,
A,IT,JAN,9,TOTAL,2025,5422426,e
A,ITC,JAN,9,TOTAL,2019,1687560,
A,ITC,JAN,9,TOTAL,2020,1708639,
A,ITC,JAN,9,TOTAL,2021,1766425,
A,ITC,JAN,9,TOTAL,2022,1720043,
A,ITC,JAN,9,TOTAL,2023,1755332,
A,ITC,JAN,9,TOTAL,2024,1796257,
A,ITC,JAN,9,TOTAL,2025,1852334,e
A,ITC1,JAN,9,TOTAL,2019,411083,
A,ITC1,JAN,9,TOTAL,2020,411936,
A,ITC1,JAN,9,TOTAL,2021,417279,
A,ITC1,JAN,9,TOTAL,2022,411095,
A,ITC1,JAN,9,TOTAL,2023,420240,
A,ITC1,JAN,9,TOTAL,2024,428905,
A,ITC1,JAN,9,TOTAL,2025,448862,e
A,ITC11,JAN,9,TOTAL,2019,210554,
A,ITC11,JAN,9,TOTAL,2020,210973,
A,ITC11,JAN,9,TOTAL,2021,213042,
A,ITC11,JAN,9,TOTAL,2022,208871,
A,ITC11,JAN,9,TOTAL,2023,214860,
A,ITC11,JAN,9,TOTAL,2024,219139,
A,ITC11,JAN,9,TOTAL,2025,229334,e
A,ITC4,JAN,9,TOTAL,2019,1130587,
A,ITC4,JAN,9,TOTAL,2020,1149065,
A,ITC4,JAN,9,TOTAL,2021,1190889,
A,ITC4,JAN,9,TOTAL,2022,1155393,
A,ITC4,JAN,9,TOTAL,2023,1176169,
A,ITC4,JAN,9,TOTAL,2024,1203138,
A,ITC4,JAN,9,TOTAL,2025,1230362,e
A,ITC45,JAN,9,TOTAL,2019,447708,
A,ITC45,JAN,9,TOTAL,2020,459131,
A,ITC45,JAN,9,TOTAL,2021,489408,
A,ITC45,JAN,9,TOTAL,2022,463591,
A,ITC45,JAN,9,TOTAL,2023,475171,
A,ITC45,JAN,9,TOTAL,2024,487100,
A,ITC45,JAN,9,TOTAL,2025,495662,e
A,ITD,JAN,9,TOTAL,2019,1212857,
A,ITD,JAN,9,TOTAL,2020,1227963,
A,ITD,JAN,9,TOTAL,2021,1292299,
A,ITD,JAN,9,TOTAL,2022,1253480,
A,ITD,JAN,9,TOTAL,2023,1266775,
A,ITD,JAN,9,TOTAL,2024,1285148,
A,ITD,JAN,9,TOTAL,2025,1306864,e
A,ITE,JAN,9,TOTAL,2019,1246779,
A,ITE,JAN,9,TOTAL,2020,1250276,
A,ITE,JAN,9,TOTAL,2021,1284499,
A,ITE,JAN,9,TOTAL,2022,1241133,
A,ITE,JAN,9,TOTAL,2023,1266873,
A,ITE,JAN,9,TOTAL,2024,1287968,
A,ITE,JAN,9,TOTAL,2025,1322445,e
A,ITFG,JAN,9,TOTAL,2019,848962,
A,ITFG,JAN,9,TOTAL,2020,852759,
A,ITFG,JAN,9,TOTAL,2021,828671,
A,ITFG,JAN,9,TOTAL,2022,816060,
A,ITFG,JAN,9,TOTAL,2023,852361,
A,ITFG,JAN,9,TOTAL,2024,884285,
A,ITFG,JAN,9,TOTAL,2025,940783,e
