FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,MEASURE,Measure (DESC),PURCHASES_DWELLINGS,Purchases of dwellings,TIME_PERIOD,Observation,OBS_STATUS,Observation status
A,Annual,IT,Italy,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2010,118.1,,
A,Annual,IT,Italy,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2011,119.7,,
A,Annual,IT,Italy,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2012,116.7,,
A,Annual,IT,Italy,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2013,109.1,,
A,Annual,IT,Italy,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2014,104,,
A,Annual,IT,Italy,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2015,100,,
A,Annual,IT,Italy,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2016,100.3,,
A,Annual,IT,Italy,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2017,99.2,,
A,Annual,IT,Italy,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2018,98.6,,
A,Annual,IT,Italy,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2019,98.5,,
A,Annual,IT,Italy,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2020,100.4,,
A,Annual,IT,Italy,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2021,103,,
A,Annual,IT,Italy,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2022,106.9,,
A,Annual,IT,Italy,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2023,108.3,,
A,Annual,IT,Italy,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2024,111.7,,
A,Annual,ITC,Nord-ovest,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2010,118.9,,
A,Annual,ITC,Nord-ovest,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2011,118.7,,
A,Annual,ITC,Nord-ovest,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2012,116,,
A,Annual,ITC,Nord-ovest,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2013,108.8,,
A,Annual,ITC,Nord-ovest,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2014,104.3,,
A,Annual,ITC,Nord-ovest,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2015,100,,
A,Annual,ITC,Nord-ovest,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2016,100.2,,
A,Annual,ITC,Nord-ovest,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2017,99.5,,
A,Annual,ITC,Nord-ovest,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2018,99.4,,
A,Annual,ITC,Nord-ovest,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2019,100.4,,
A,Annual,ITC,Nord-ovest,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2020,103.4,,
A,Annual,ITC,Nord-ovest,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2021,106,,
A,Annual,ITC,Nord-ovest,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2022,110.6,,
A,Annual,ITC,Nord-ovest,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2023,112.8,,
A,Annual,ITC,Nord-ovest,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2024,116.3,,
A,Annual,ITC11,Torino,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2010,124,,
A,Annual,ITC11,Torino,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2011,117.5,,
A,Annual,ITC11,Torino,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2012,120,,
A,Annual,ITC11,Torino,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2013,112.1,,
A,Annual,ITC11,Torino,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2014,105.6,,
A,Annual,ITC11,Torino,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2015,100,,
A,Annual,ITC11,Torino,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2016,97.2,,
A,Annual,ITC11,Torino,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2017,97.5,,
A,Annual,ITC11,Torino,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2018,98,,
A,Annual,ITC11,Torino,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2019,98.2,,
A,Annual,ITC11,Torino,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2020,99,,
A,Annual,ITC11,Torino,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2021,101,,
A,Annual,ITC11,Torino,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2022,104.7,,
A,Annual,ITC11,Torino,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2023,107.5,,
A,Annual,ITC11,Torino,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2024,107.4,,
A,Annual,ITC45,Milano,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2010,127.9,,
A,Annual,ITC45,Milano,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2011,125.5,,
A,Annual,ITC45,Milano,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2012,119.8,,
A,Annual,ITC45,Milano,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2013,110.6,,
A,Annual,ITC45,Milano,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2014,105.1,,
A,Annual,ITC45,Milano,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2015,100,,
A,Annual,ITC45,Milano,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2016,103.6,,
A,Annual,ITC45,Milano,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2017,107.4,,
A,Annual,ITC45,Milano,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2018,110.6,,
