FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,TIME_PERIOD,Observation,OBS_STATUS,Observation status
A,Annual,IT,Italy,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2010,12.7,,
A,Annual,IT,Italy,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2011,12.9,,
A,Annual,IT,Italy,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2012,12.5,,
A,Annual,IT,Italy,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2013,13.2,,
A,Annual,IT,Italy,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2014,13,,
A,Annual,IT,Italy,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2015,12.8,,
A,Annual,IT,Italy,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2016,12.8,,
A,Annual,IT,Italy,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2017,11.6,,
A,Annual,IT,Italy,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2018,11.5,,
A,Annual,IT,Italy,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2019,11.9,,
A,Annual,IT,Italy,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2020,11,,
A,Annual,IT,Italy,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2021,11.7,,
A,Annual,IT,Italy,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2022,11.6,,
A,Annual,IT,Italy,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2023,11.1,,
A,Annual,IT,Italy,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2024,10.2,,
A,Annual,IT,Italy,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2010,323,,
A,Annual,IT,Italy,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2011,324,,
A,Annual,IT,Italy,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2012,316,,
A,Annual,IT,Italy,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2013,324,,
A,Annual,IT,Italy,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2014,320,,
A,Annual,IT,Italy,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2015,314,,
A,Annual,IT,Italy,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2016,320,,
A,Annual,IT,Italy,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2017,296,,
A,Annual,IT,Italy,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2018,301,,
A,Annual,IT,Italy,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2019,313,,
A,Annual,IT,Italy,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2020,304,,
A,Annual,IT,Italy,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2021,320,,
A,Annual,IT,Italy,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2022,327,,
A,Annual,IT,Italy,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2023,334,,
A,Annual,IT,Italy,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2024,318,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2010,13.5,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2011,13.4,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2012,13,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2013,13.7,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2014,13.9,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2015,13.4,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2016,13.3,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2017,11.9,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2018,11.9,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2019,12.3,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2020,11.5,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2021,12.3,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2022,12.2,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2023,11.8,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2024,10.7,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2010,374,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2011,372,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2012,361,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2013,377,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2014,374,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2015,368,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2016,363,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2017,329,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2018,340,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2019,356,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2020,346,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2021,369,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2022,382,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2023,387,,
