FREQ,REF_AREA,DATA_TYPE,ADJUSTMENT,TYPE_ACCOMMODATION,ECON_ACTIVITY_NACE_2007,COUNTRY_RES_GUESTS,TIME_PERIOD,Observation,OBS_STATUS
A,IT,NI,N,ALL,551_553,IT,2010,210340052,
A,IT,NI,N,ALL,551_553,IT,2011,210420670,
A,IT,NI,N,ALL,551_553,IT,2012,200116495,
A,IT,NI,N,ALL,551_553,IT,2013,191992233,
A,IT,NI,N,ALL,551_553,IT,2014,190978299,
A,IT,NI,N,ALL,551_553,IT,2015,200249044,
A,IT,NI,N,ALL,551_553,IT,2016,203540299,
A,IT,NI,N,ALL,551_553,IT,2017,209970369,
A,IT,NI,N,ALL,551_553,IT,2018,212334391,
A,IT,NI,N,ALL,551_553,IT,2019,216076587,
A,IT,NI,N,ALL,551_553,IT,2020,143003478,
A,IT,NI,N,ALL,551_553,IT,2021,183054967,
A,IT,NI,N,ALL,551_553,IT,2022,210939098,
A,IT,NI,N,ALL,551_553,IT,2023,212987794,
A,IT,NI,N,ALL,551_553,IT,2024,212209602,
A,IT,NI,N,ALL,551_553,ITC1,2010,18549622,
A,IT,NI,N,ALL,551_553,ITC1,2011,18947271,
A,IT,NI,N,ALL,551_553,ITC1,2012,16677890,
A,IT,NI,N,ALL,551_553,ITC1,2013,16085933,
A,IT,NI,N,ALL,551_553,ITC1,2014,16861835,
A,IT,NI,N,ALL,551_553,ITC1,2015,16932238,
A,IT,NI,N,ALL,551_553,ITC1,2016,17122755,
A,IT,NI,N,ALL,551_553,ITC1,2017,16997123,
A,IT,NI,N,ALL,551_553,ITC1,2018,16561560,
A,IT,NI,N,ALL,551_553,ITC1,2019,17320008,
A,IT,NI,N,ALL,551_553,ITC1,2020,10938997,
A,IT,NI,N,ALL,551_553,ITC1,2021,14083285,
A,IT,NI,N,ALL,551_553,ITC1,2022,15828932,
A,IT,NI,N,ALL,551_553,ITC1,2023,15376449,
A,IT,NI,N,ALL,551_553,ITC1,2024,15187864,
A,IT,NI,N,ALL,551_553,ITC2,2010,533121,
A,IT,NI,N,ALL,551_553,ITC2,2011,539668,
A,IT,NI,N,ALL,551_553,ITC2,2012,506181,
A,IT,NI,N,ALL,551_553,ITC2,2013,471248,
A,IT,NI,N,ALL,551_553,ITC2,2014,456493,
A,IT,NI,N,ALL,551_553,ITC2,2015,471333,
A,IT,NI,N,ALL,551_553,ITC2,2016,492039,
A,IT,NI,N,ALL,551_553,ITC2,2017,512010,
A,IT,NI,N,ALL,551_553,ITC2,2018,508113,
A,IT,NI,N,ALL,551_553,ITC2,2019,489204,
A,IT,NI,N,ALL,551_553,ITC2,2020,295477,
A,IT,NI,N,ALL,551_553,ITC2,2021,428180,
A,IT,NI,N,ALL,551_553,ITC2,2022,469083,
A,IT,NI,N,ALL,551_553,ITC2,2023,465054,
A,IT,NI,N,ALL,551_553,ITC2,2024,490998,
A,IT,NI,N,ALL,551_553,ITC3,2010,5269195,
A,IT,NI,N,ALL,551_553,ITC3,2011,5317910,
A,IT,NI,N,ALL,551_553,ITC3,2012,5011428,
A,IT,NI,N,ALL,551_553,ITC3,2013,4828582,
A,IT,NI,N,ALL,551_553,ITC3,2014,4949526,
A,IT,NI,N,ALL,551_553,ITC3,2015,5031343,
A,IT,NI,N,ALL,551_553,ITC3,2016,4929728,
A,IT,NI,N,ALL,551_553,ITC3,2017,5057116,
A,IT,NI,N,ALL,551_553,ITC3,2018,5138477,
A,IT,NI,N,ALL,551_553,ITC3,2019,5172696,
A,IT,NI,N,ALL,551_553,ITC3,2020,3238543,
A,IT,NI,N,ALL,551_553,ITC3,2021,4073470,
A,IT,NI,N,ALL,551_553,ITC3,2022,4781872,
A,IT,NI,N,ALL,551_553,ITC3,2023,4844884,
A,IT,NI,N,ALL,551_553,ITC3,2024,4816944,
