FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,TIME_PERIOD,Observation,OBS_STATUS,Observation status
A,Annual,IT,Italy,TOTAREA2,Total area (km2),2010,302063.0669,,
A,Annual,IT,Italy,TOTAREA2,Total area (km2),2011,302065.9803,,
A,Annual,IT,Italy,TOTAREA2,Total area (km2),2012,302065.98,,
A,Annual,IT,Italy,TOTAREA2,Total area (km2),2013,302065.9803,,
A,Annual,IT,Italy,TOTAREA2,Total area (km2),2014,302065.9803,,
A,Annual,IT,Italy,TOTAREA2,Total area (km2),2015,302065.9803,,
A,Annual,IT,Italy,TOTAREA2,Total area (km2),2016,302066.0147,,
A,Annual,IT,Italy,TOTAREA2,Total area (km2),2017,302066.0147,,
A,Annual,IT,Italy,TOTAREA2,Total area (km2),2018,302066.0154,,
A,Annual,IT,Italy,TOTAREA2,Total area (km2),2019,302068.2567,,
A,Annual,IT,Italy,TOTAREA2,Total area (km2),2020,302068.2564,,
A,Annual,IT,Italy,TOTAREA2,Total area (km2),2021,302109.5693,,
A,Annual,IT,Italy,TOTAREA2,Total area (km2),2022,302109.5693,,
A,Annual,IT,Italy,TOTAREA2,Total area (km2),2023,302109.5693,,
A,Annual,IT,Italy,TOTAREA2,Total area (km2),2024,302109.5695,,
A,Annual,IT,Italy,TOTAREA2,Total area (km2),2025,302109.5722,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2010,57925.4981,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2011,57926.7836,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2012,57926.7834,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2013,57926.7835,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2014,57926.7834,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2015,57926.7835,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2016,57926.7836,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2017,57926.7836,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2018,57926.7838,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2019,57926.8011,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2020,57926.801,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2021,57928.2788,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2022,57928.2788,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2023,57928.2788,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2024,57928.279,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2025,57928.2793,,
A,Annual,ITC1,Piemonte,TOTAREA2,Total area (km2),2010,25386.669,,
A,Annual,ITC1,Piemonte,TOTAREA2,Total area (km2),2011,25386.697,,
A,Annual,ITC1,Piemonte,TOTAREA2,Total area (km2),2012,25386.697,,
A,Annual,ITC1,Piemonte,TOTAREA2,Total area (km2),2013,25386.697,,
A,Annual,ITC1,Piemonte,TOTAREA2,Total area (km2),2014,25386.697,,
A,Annual,ITC1,Piemonte,TOTAREA2,Total area (km2),2015,25386.697,,
A,Annual,ITC1,Piemonte,TOTAREA2,Total area (km2),2016,25386.6972,,
A,Annual,ITC1,Piemonte,TOTAREA2,Total area (km2),2017,25386.6972,,
A,Annual,ITC1,Piemonte,TOTAREA2,Total area (km2),2018,25386.6974,,
A,Annual,ITC1,Piemonte,TOTAREA2,Total area (km2),2019,25386.6971,,
A,Annual,ITC1,Piemonte,TOTAREA2,Total area (km2),2020,25386.6971,,
A,Annual,ITC1,Piemonte,TOTAREA2,Total area (km2),2021,25386.7279,,
A,Annual,ITC1,Piemonte,TOTAREA2,Total area (km2),2022,25386.7279,,
A,Annual,ITC1,Piemonte,TOTAREA2,Total area (km2),2023,25386.7279,,
A,Annual,ITC1,Piemonte,TOTAREA2,Total area (km2),2024,25386.728,,
A,Annual,ITC1,Piemonte,TOTAREA2,Total area (km2),2025,25386.728,,
A,Annual,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',TOTAREA2,Total area (km2),2010,3260.8843,,
A,Annual,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',TOTAREA2,Total area (km2),2011,3260.8546,,
A,Annual,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',TOTAREA2,Total area (km2),2012,3260.8546,,
A,Annual,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',TOTAREA2,Total area (km2),2013,3260.8546,,
A,Annual,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',TOTAREA2,Total area (km2),2014,3260.8546,,
A,Annual,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',TOTAREA2,Total area (km2),2015,3260.8546,,
A,Annual,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',TOTAREA2,Total area (km2),2016,3260.8546,,
A,Annual,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',TOTAREA2,Total area (km2),2017,3260.8546,,
A,Annual,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',TOTAREA2,Total area (km2),2018,3260.8546,,
A,Annual,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',TOTAREA2,Total area (km2),2019,3260.8546,,
A,Annual,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',TOTAREA2,Total area (km2),2020,3260.8546,,
A,Annual,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',TOTAREA2,Total area (km2),2021,3260.8426,,
A,Annual,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',TOTAREA2,Total area (km2),2022,3260.8426,,
A,Annual,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',TOTAREA2,Total area (km2),2023,3260.8426,,
A,Annual,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',TOTAREA2,Total area (km2),2024,3260.8426,,
A,Annual,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',TOTAREA2,Total area (km2),2025,3260.8426,,
A,Annual,ITC3,Liguria,TOTAREA2,Total area (km2),2010,5415.0727,,
A,Annual,ITC3,Liguria,TOTAREA2,Total area (km2),2011,5416.1343,,
A,Annual,ITC3,Liguria,TOTAREA2,Total area (km2),2012,5416.1343,,
A,Annual,ITC3,Liguria,TOTAREA2,Total area (km2),2013,5416.1343,,
A,Annual,ITC3,Liguria,TOTAREA2,Total area (km2),2014,5416.1343,,
A,Annual,ITC3,Liguria,TOTAREA2,Total area (km2),2015,5416.1343,,
A,Annual,ITC3,Liguria,TOTAREA2,Total area (km2),2016,5416.1343,,
A,Annual,ITC3,Liguria,TOTAREA2,Total area (km2),2017,5416.1343,,
A,Annual,ITC3,Liguria,TOTAREA2,Total area (km2),2018,5416.1343,,
A,Annual,ITC3,Liguria,TOTAREA2,Total area (km2),2019,5416.152,,
A,Annual,ITC3,Liguria,TOTAREA2,Total area (km2),2020,5416.152,,
A,Annual,ITC3,Liguria,TOTAREA2,Total area (km2),2021,5417.6165,,
A,Annual,ITC3,Liguria,TOTAREA2,Total area (km2),2022,5417.6165,,
A,Annual,ITC3,Liguria,TOTAREA2,Total area (km2),2023,5417.6165,,
A,Annual,ITC3,Liguria,TOTAREA2,Total area (km2),2024,5417.6165,,
A,Annual,ITC3,Liguria,TOTAREA2,Total area (km2),2025,5417.6165,,
A,Annual,ITC4,Lombardia,TOTAREA2,Total area (km2),2010,23862.8721,,
A,Annual,ITC4,Lombardia,TOTAREA2,Total area (km2),2011,23863.0977,,
A,Annual,ITC4,Lombardia,TOTAREA2,Total area (km2),2012,23863.0975,,
A,Annual,ITC4,Lombardia,TOTAREA2,Total area (km2),2013,23863.0976,,
A,Annual,ITC4,Lombardia,TOTAREA2,Total area (km2),2014,23863.0975,,
