FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,TIME_PERIOD,Observation,OBS_STATUS,Observation status
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2010,57925.4981,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2011,57926.7836,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2012,57926.7834,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2013,57926.7835,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2014,57926.7834,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2015,57926.7835,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2016,57926.7836,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2017,57926.7836,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2018,57926.7838,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2019,57926.8011,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2020,57926.801,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2021,57928.2788,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2022,57928.2788,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2023,57928.2788,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2024,57928.279,,
A,Annual,ITC,Nord-ovest,TOTAREA2,Total area (km2),2025,57928.2793,,
A,Annual,ITC4,Lombardia,TOTAREA2,Total area (km2),2010,23862.8721,,
A,Annual,ITC4,Lombardia,TOTAREA2,Total area (km2),2011,23863.0977,,
A,Annual,ITC4,Lombardia,TOTAREA2,Total area (km2),2012,23863.0975,,
A,Annual,ITC4,Lombardia,TOTAREA2,Total area (km2),2013,23863.0976,,
A,Annual,ITC4,Lombardia,TOTAREA2,Total area (km2),2014,23863.0975,,
A,Annual,ITC4,Lombardia,TOTAREA2,Total area (km2),2015,23863.0976,,
A,Annual,ITC4,Lombardia,TOTAREA2,Total area (km2),2016,23863.0975,,
A,Annual,ITC4,Lombardia,TOTAREA2,Total area (km2),2017,23863.0975,,
A,Annual,ITC4,Lombardia,TOTAREA2,Total area (km2),2018,23863.0975,,
A,Annual,ITC4,Lombardia,TOTAREA2,Total area (km2),2019,23863.0974,,
A,Annual,ITC4,Lombardia,TOTAREA2,Total area (km2),2020,23863.0973,,
A,Annual,ITC4,Lombardia,TOTAREA2,Total area (km2),2021,23863.0918,,
A,Annual,ITC4,Lombardia,TOTAREA2,Total area (km2),2022,23863.0918,,
A,Annual,ITC4,Lombardia,TOTAREA2,Total area (km2),2023,23863.0918,,
A,Annual,ITC4,Lombardia,TOTAREA2,Total area (km2),2024,23863.0919,,
A,Annual,ITC4,Lombardia,TOTAREA2,Total area (km2),2025,23863.0922,,
A,Annual,ITD,Nord-est,TOTAREA2,Total area (km2),2010,62326.2396,,
A,Annual,ITD,Nord-est,TOTAREA2,Total area (km2),2011,62325.9375,,
A,Annual,ITD,Nord-est,TOTAREA2,Total area (km2),2012,62325.9374,,
A,Annual,ITD,Nord-est,TOTAREA2,Total area (km2),2013,62325.9375,,
A,Annual,ITD,Nord-est,TOTAREA2,Total area (km2),2014,62325.9376,,
A,Annual,ITD,Nord-est,TOTAREA2,Total area (km2),2015,62325.9375,,
A,Annual,ITD,Nord-est,TOTAREA2,Total area (km2),2016,62325.9377,,
A,Annual,ITD,Nord-est,TOTAREA2,Total area (km2),2017,62325.9378,,
A,Annual,ITD,Nord-est,TOTAREA2,Total area (km2),2018,62325.938,,
A,Annual,ITD,Nord-est,TOTAREA2,Total area (km2),2019,62327.115,,
A,Annual,ITD,Nord-est,TOTAREA2,Total area (km2),2020,62327.1147,,
A,Annual,ITD,Nord-est,TOTAREA2,Total area (km2),2021,62395.0438,,
A,Annual,ITD,Nord-est,TOTAREA2,Total area (km2),2022,62395.0438,,
A,Annual,ITD,Nord-est,TOTAREA2,Total area (km2),2023,62395.0438,,
A,Annual,ITD,Nord-est,TOTAREA2,Total area (km2),2024,62395.0438,,
A,Annual,ITD,Nord-est,TOTAREA2,Total area (km2),2025,62395.0454,,
A,Annual,ITE,Centro (I),TOTAREA2,Total area (km2),2010,58082.0888,,
A,Annual,ITE,Centro (I),TOTAREA2,Total area (km2),2011,58083.7093,,
A,Annual,ITE,Centro (I),TOTAREA2,Total area (km2),2012,58083.7093,,
A,Annual,ITE,Centro (I),TOTAREA2,Total area (km2),2013,58083.7093,,
A,Annual,ITE,Centro (I),TOTAREA2,Total area (km2),2014,58083.7093,,
A,Annual,ITE,Centro (I),TOTAREA2,Total area (km2),2015,58083.7093,,
A,Annual,ITE,Centro (I),TOTAREA2,Total area (km2),2016,58083.7095,,
A,Annual,ITE,Centro (I),TOTAREA2,Total area (km2),2017,58083.7094,,
A,Annual,ITE,Centro (I),TOTAREA2,Total area (km2),2018,58083.7095,,
A,Annual,ITE,Centro (I),TOTAREA2,Total area (km2),2019,58084.567,,
A,Annual,ITE,Centro (I),TOTAREA2,Total area (km2),2020,58084.5671,,
A,Annual,ITE,Centro (I),TOTAREA2,Total area (km2),2021,58039.336,,
A,Annual,ITE,Centro (I),TOTAREA2,Total area (km2),2022,58039.336,,
A,Annual,ITE,Centro (I),TOTAREA2,Total area (km2),2023,58039.336,,
A,Annual,ITE,Centro (I),TOTAREA2,Total area (km2),2024,58039.336,,
A,Annual,ITE,Centro (I),TOTAREA2,Total area (km2),2025,58039.3359,,
A,Annual,ITF,Sud,TOTAREA2,Total area (km2),2010,73797.449,,
A,Annual,ITF,Sud,TOTAREA2,Total area (km2),2011,73797.7751,,
A,Annual,ITF,Sud,TOTAREA2,Total area (km2),2012,73797.7751,,
