FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,Year,Observation_Average_Monthly_Exp,OBS_STATUS,Observation status
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2011,347,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2012,352,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2013,362,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2014,354,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2015,348,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2016,350,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2017,310,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2018,317,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2019,347,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2020,345,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2021,356,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2022,359,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2023,370,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2024,372,,
A,Annual,ITC2,Valle d'Aosta,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2011,351,,
A,Annual,ITC2,Valle d'Aosta,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2012,354,,
A,Annual,ITC2,Valle d'Aosta,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2013,359,,
A,Annual,ITC2,Valle d'Aosta,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2014,358,,
A,Annual,ITC2,Valle d'Aosta,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2015,343,,
A,Annual,ITC2,Valle d'Aosta,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2016,314,,
A,Annual,ITC2,Valle d'Aosta,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2017,283,,
A,Annual,ITC2,Valle d'Aosta,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2018,255,,
A,Annual,ITC2,Valle d'Aosta,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2019,314,,
A,Annual,ITC2,Valle d'Aosta,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2020,296,,
A,Annual,ITC2,Valle d'Aosta,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2021,314,,
A,Annual,ITC2,Valle d'Aosta,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2022,331,,
A,Annual,ITC2,Valle d'Aosta,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2023,337,,
A,Annual,ITC2,Valle d'Aosta,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2024,341,,
A,Annual,ITC3,Liguria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2011,339,,
A,Annual,ITC3,Liguria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2012,341,,
A,Annual,ITC3,Liguria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2013,350,,
A,Annual,ITC3,Liguria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2014,358,,
A,Annual,ITC3,Liguria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2015,340,,
A,Annual,ITC3,Liguria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2016,356,,
A,Annual,ITC3,Liguria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2017,333,,
A,Annual,ITC3,Liguria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2018,335,,
A,Annual,ITC3,Liguria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2019,333,,
A,Annual,ITC3,Liguria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2020,319,,
A,Annual,ITC3,Liguria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2021,343,,
A,Annual,ITC3,Liguria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2022,337,,
A,Annual,ITC3,Liguria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2023,375,,
A,Annual,ITC3,Liguria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2024,343,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2011,391,,
