FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,MEASURE,Measure (DESC),E_COICOP_REV_ISTAT,ECOICOP Rev. Istat,TIME_PERIOD,Observation,OBS_STATUS,Year,Observation_CPI_housing
A,Annual,ITC1,Piemonte,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2016,98.2
A,Annual,ITC1,Piemonte,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2017,99.5
A,Annual,ITC1,Piemonte,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2018,101.7
A,Annual,ITC1,Piemonte,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2019,102.8
A,Annual,ITC1,Piemonte,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2020,99.5
A,Annual,ITC1,Piemonte,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2021,105.6
A,Annual,ITC1,Piemonte,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2022,138.4
A,Annual,ITC1,Piemonte,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2023,151.4
A,Annual,ITC1,Piemonte,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2024,142.4
A,Annual,ITC2,Valle d'Aosta,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2016,97.9
A,Annual,ITC2,Valle d'Aosta,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2017,99.1
A,Annual,ITC2,Valle d'Aosta,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2018,101.7
A,Annual,ITC2,Valle d'Aosta,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2019,103.2
A,Annual,ITC2,Valle d'Aosta,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2020,99.8
A,Annual,ITC2,Valle d'Aosta,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2021,105.3
