FREQ,Frequency,REF_AREA,Territory,DATA_TYPE_AGGR,Aggregate,INSTITUTIONAL_SECTOR,Institutional sector,VALUATION,Valuation (DESC),PRICE,Price (DESC),ADJUSTMENT,Adjustment (DESC),EDITION,Edition (DESC),Year,Observation_Disp_Income,OBS_STATUS,Observation status,NOTE_REF_AREA,Territory (NOTE_REF_AREA),NOTE_DATA_TYPE_AGGR,Aggregate (NOTE_DATA_TYPE_AGGR),NOTE_INSTITUTIONAL_SECTOR,Institutional sector (NOTE_INSTITUTIONAL_SECTOR),NOTE_VALUATION,Valuation (NOTE_VALUATION),NOTE_PRICE,Price (NOTE_PRICE),NOTE_ADJUSTMENT,Adjustment (NOTE_ADJUSTMENT),NOTE_EDITION,Edition (NOTE_EDITION),BASE_PER,Base year,UNIT_MEAS,Measure unit,UNIT_MULT,Multiplication unit
A,Annual,ITC1,Piemonte,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2011,85934.3,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC1,Piemonte,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2012,82633.5,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC1,Piemonte,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2013,82511.5,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC1,Piemonte,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2014,83035.9,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC1,Piemonte,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2015,83333.6,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC1,Piemonte,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2016,84305.2,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC1,Piemonte,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2017,86429.3,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC1,Piemonte,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2018,87409.1,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC1,Piemonte,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2019,87812.4,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC1,Piemonte,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2020,84984.5,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
