Region,Year,Observation_Tourism,Observation_Average_Monthly_Exp,Observation_CPI_housing,Observation_Disp_Income,Observation_Income_Percentage,HPI_average
Abruzzo,2011,957033,286.0,,20779.2,13.6,887.5524399306416
Abruzzo,2012,929495,274.0,,20004.9,12.2,890.8336547702056
Abruzzo,2013,887904,259.0,,20121.2,12.0,882.4199755098266
Abruzzo,2014,919549,240.0,,19973.4,10.9,869.6605293440737
Abruzzo,2015,1005595,222.0,,20247.5,10.2,844.5468929804373
Abruzzo,2016,1054634,264.0,99.2,20311.9,12.0,820.3754315304948
Abruzzo,2017,1123044,246.0,101.0,20611.8,10.8,794.77416570771
Abruzzo,2018,1196641,240.0,104.0,20846.2,10.3,787.2065592635213
Abruzzo,2019,1217085,264.0,105.4,20868.8,11.0,776.6451149425288
Abruzzo,2020,604332,284.0,102.0,20343.4,11.2,758.3663793103449
Abruzzo,2021,891648,261.0,109.9,21525.7,12.0,748.6738505747127
Abruzzo,2022,1130109,273.0,155.3,22880.9,11.3,748.5402298850574
Abruzzo,2023,1208561,283.0,159.2,24394.5,11.1,753.721264367816
Abruzzo,2024,1222376,249.0,146.7,,9.0,762.0112715599721
Basilicata,2011,464869,224.0,,7505.9,10.8,712.6140873015872
Basilicata,2012,448453,235.0,,7313.3,11.0,701.1631944444445
Basilicata,2013,425993,209.0,,7258.6,10.5,695.0595238095239
Basilicata,2014,439047,237.0,,7319.2,12.1,725.6179273228997
Basilicata,2015,451507,242.0,,7552.7,12.2,727.3138401732463
Basilicata,2016,417797,250.0,100.6,7507.7,11.8,725.2132936507937
Basilicata,2017,454802,233.0,102.3,7552.7,11.1,725.5853174603175
Basilicata,2018,487877,243.0,104.0,7719.5,11.4,724.5925390119601
Basilicata,2019,484325,259.0,104.9,7811.5,11.8,724.4940476190476
Basilicata,2020,231559,240.0,100.2,7835.5,11.8,685.2224598835558
Basilicata,2021,333834,252.0,109.1,8125.6,11.3,660.6958250497019
Basilicata,2022,444459,268.0,145.3,8534.1,11.1,663.1410791205151
Basilicata,2023,475623,273.0,137.7,9019.5,10.8,664.4731610337972
Basilicata,2024,488620,246.0,133.3,,9.2,674.3861829025846
Calabria,2011,1136190,226.0,,24722.2,11.3,669.9429898648649
Calabria,2012,1128053,213.0,,23889.3,10.6,666.0135698835215
Calabria,2013,1071049,196.0,,23722.2,9.4,658.768971332209
Calabria,2014,1103900,207.0,,23613.3,10.6,684.7500362050655
Calabria,2015,1198647,228.0,,23893.7,12.0,682.1105072463768
Calabria,2016,1226263,242.0,98.1,24124.6,11.9,674.9063371807965
Calabria,2017,1331211,213.0,100.2,24789.6,11.0,672.4517145109903
Calabria,2018,1415817,222.0,102.1,25169.3,10.4,664.8452139585278
Calabria,2019,1443898,234.0,103.0,25443.5,10.7,662.050983436853
Calabria,2020,650637,251.0,99.8,25113.3,11.2,646.3397224378882
Calabria,2021,971312,255.0,107.3,25983.4,10.4,646.7937631027254
Calabria,2022,1297673,256.0,144.8,27518.2,11.5,648.4738219895288
Calabria,2023,1406587,228.0,147.4,29179.2,10.3,649.2774869109948
Calabria,2024,1408087,221.0,137.4,,9.4,639.5609907057917
Campania,2011,3797236,298.0,,72886.0,14.6,1196.9139579349903
Campania,2012,3610689,292.0,,69627.5,13.8,1170.8778184307298
Campania,2013,3496990,279.0,,69181.4,13.8,1116.7097976008165
Campania,2014,3598157,282.0,,70161.8,14.4,1103.641693393855
Campania,2015,3894704,276.0,,71521.4,13.6,1071.788386032572
Campania,2016,4479296,280.0,98.7,72222.3,13.9,1053.032355575459
Campania,2017,4704783,278.0,100.2,72620.6,13.7,1051.6199478921783
Campania,2018,5057459,277.0,103.1,73943.2,13.4,1051.226893597836
Campania,2019,5262173,290.0,104.3,74889.4,13.6,1049.995491433724
Campania,2020,2960220,264.0,101.5,73375.0,11.7,1021.1953336339044
Campania,2021,3974656,292.0,109.2,77321.2,13.1,1014.9120829576196
Campania,2022,4915869,297.0,146.3,82855.2,13.4,1007.1585753176043
Campania,2023,5263307,294.0,147.1,86967.5,12.2,1013.1272686025408
Campania,2024,5211059,286.0,137.8,,11.3,1025.8662894501144
Emilia-Romagna,2011,4688334,383.0,,90915.0,13.1,1584.389864942929
Emilia-Romagna,2012,4752799,377.0,,88473.8,13.5,1582.8465730990692
Emilia-Romagna,2013,4627401,385.0,,89543.9,14.0,1541.4686604614417
Emilia-Romagna,2014,4728142,369.0,,90467.6,13.0,1433.205912936799
Emilia-Romagna,2015,5085049,365.0,,91324.6,12.8,1382.0320144801435
Emilia-Romagna,2016,5294001,357.0,98.2,92745.7,12.3,1359.277537279523
Emilia-Romagna,2017,5532418,336.0,100.1,95794.7,11.5,1347.8087385527551
Emilia-Romagna,2018,5713397,347.0,102.7,97052.3,11.7,1345.5136531239082
Emilia-Romagna,2019,5812533,346.0,103.7,97346.1,12.0,1340.207848328978
Emilia-Romagna,2020,3825884,339.0,100.3,94661.6,10.6,1335.424190535492
Emilia-Romagna,2021,4754097,341.0,107.4,98271.0,10.8,1326.3883656318703
Emilia-Romagna,2022,5620684,345.0,146.4,104781.8,10.4,1332.055790986938
Emilia-Romagna,2023,5780043,385.0,150.6,109982.3,10.9,1340.702065351418
Emilia-Romagna,2024,5810066,360.0,143.2,,10.0,1366.145426393697
Friuli-Venezia Giulia,2011,1052218,322.0,,23576.0,12.4,979.944316965878
