territory_code,territory_name,year,population,area_km2,gdp,tourism_nights,density,log_density,log_gdp,log_tourism_nights
IT,Italy,2010,59690316,302063.0669,1820930.4,210340052.0,197.60878618027434,5.286289248800324,14.414858137221488,19.164236074274914
IT,Italy,2011,59948497,302065.9803,1833594.3,210420670.0,198.46159749754514,5.290595617922333,14.421788696858982,19.164619275447322
IT,Italy,2012,60105185,302065.98,1776290.1,200116495.0,198.98031880319658,5.293205919347067,14.390037533789572,19.114410229939594
IT,Italy,2013,60277309,302065.9803,1743996.7,191992233.0,199.5501411318645,5.296065538745129,14.371689991247436,19.072965476048807
IT,Italy,2014,60345917,302065.9803,1743972.5,190978299.0,199.7772703171235,5.297203097566487,14.371676114978117,19.067670361754864
IT,Italy,2015,60295497,302065.9803,1759418.3,200249044.0,199.61035314243892,5.296367231983287,14.38049380101978,19.115072369868887
IT,Italy,2016,60163712,302066.0147,1781168.6,203540299.0,199.17405160508446,5.2941790736388485,14.392780223709288,19.131374572725704
IT,Italy,2017,60066734,302066.0147,1809733.2,209970369.0,198.85300257844597,5.292565871255294,14.408689989062156,19.1624769787262
IT,Italy,2018,59937769,302066.0154,1824693.3,212334391.0,198.42605902100433,5.290416532097656,14.41692247608142,19.173672906017618
IT,Italy,2019,59816673,302068.2567,1832524.2,216076587.0,198.02369720499001,5.288386706386599,14.421204918658473,19.191143472247994
IT,Italy,2020,59641488,302068.2564,1670011.9,143003478.0,197.4437456977356,5.285453711858664,14.328341310116052,18.778379509606737
IT,Italy,2021,59236213,302109.5693,1819161.7,183054967.0,196.07526215489528,5.2784985761112,14.413886348546585,19.02529703182504
IT,Italy,2022,59030133,302109.5693,1906866.7,210939098.0,195.3931255364575,5.27501355749777,14.460971981772342,19.16708001470613
IT,Italy,2023,58997201,302109.5693,1920507.9,212987794.0,195.28411872784727,5.27445551725847,14.468100240271742,19.176745416867377
IT,Italy,2024,58971230,302109.5695,,212209602.0,195.19815309921853,5.274015212352359,,19.173085032884792
ITC,Nord-Ovest,2010,15790680,57925.4981,596864.6,,272.60326657424116,5.6080175022216014,13.29944556598156,
ITC,Nord-Ovest,2011,15876746,57926.7836,601136.2,,274.08298913389,5.61343094057986,13.306576810138564,
ITC,Nord-Ovest,2012,15945157,57926.7834,579696.5,,275.26398091008105,5.617730567809959,13.27025996970394,
ITC,Nord-Ovest,2013,16018630,57926.7835,569365.8,,276.5323574370395,5.622327839204238,13.25227838879776,
ITC,Nord-Ovest,2014,16059260,57926.7834,570822.3,,277.23376057507795,5.624861051296163,13.254833231796457,
ITC,Nord-Ovest,2015,16055730,57926.7835,576423.6,,277.17282110096795,5.624641214532425,13.264598086058365,
ITC,Nord-Ovest,2016,16027445,57926.7836,584676.7,,276.68453181647044,5.622877982868414,13.278814323874283,
ITC,Nord-Ovest,2017,16018823,57926.7836,597688.5,,276.5356887517573,5.6223398858764,13.30082499420563,
ITC,Nord-Ovest,2018,16004627,57926.7838,604732.3,,276.2906198151467,5.621453282077463,13.312541159751266,
ITC,Nord-Ovest,2019,15998031,57926.8011,604443.4,,276.1766694553413,5.621040767658476,13.312063313553237,
ITC,Nord-Ovest,2020,15988679,57926.801,554189.2,,276.01522480069286,5.620456026517116,13.22526142367151,
ITC,Nord-Ovest,2021,15899083,57928.2788,609151.3,,274.4615122243197,5.614811040643111,13.319821955901594,
ITC,Nord-Ovest,2022,15831941,57928.2788,633953.3,,273.30245828053154,5.610579087699759,13.359730571400389,
