area_id,area_name,year,hpi,cpi,disp_income,foreign_residents,housing_exp_eur,housing_exp_share
IT,Italy,2010,118.1,,1018188.6,,323.0,12.7
IT,Italy,2011,119.7,,1042315.9,,324.0,12.9
IT,Italy,2012,116.7,,1007428.7,,316.0,12.5
IT,Italy,2013,109.1,,1010061.7,,324.0,13.2
IT,Italy,2014,104.0,,1017906.8,,320.0,13.0
IT,Italy,2015,100.0,,1031247.6,,314.0,12.8
IT,Italy,2016,100.3,99.9,1045364.8,,320.0,12.8
IT,Italy,2017,99.2,101.1,1068372.6,,296.0,11.6
IT,Italy,2018,98.6,102.3,1084105.1,,301.0,11.5
IT,Italy,2019,98.5,102.9,1092044.3,4996158.0,313.0,11.9
IT,Italy,2020,100.4,102.7,1064838.6,5039637.0,304.0,11.0
IT,Italy,2021,103.0,104.7,1117105.3,5171894.0,320.0,11.7
IT,Italy,2022,106.9,113.2,1188949.8,5030716.0,327.0,11.6
IT,Italy,2023,108.3,119.6,1251941.6,5141341.0,334.0,11.1
IT,Italy,2024,111.7,120.8,,5253658.0,318.0,10.2
IT,,2025,,,,5422426.0,,
ITC,Nord-ovest,2010,118.9,,318628.6,,374.0,13.5
ITC,Nord-ovest,2011,118.7,,327951.7,,372.0,13.4
ITC,Nord-ovest,2012,116.0,,317121.3,,361.0,13.0
ITC,Nord-ovest,2013,108.8,,317692.3,,377.0,13.7
ITC,Nord-ovest,2014,104.3,,320028.8,,374.0,13.9
ITC,Nord-ovest,2015,100.0,,323463.9,,368.0,13.4
ITC,Nord-ovest,2016,100.2,99.9,327319.7,,363.0,13.3
ITC,Nord-ovest,2017,99.5,101.0,337118.8,,329.0,11.9
ITC,Nord-ovest,2018,99.4,102.3,338653.1,,340.0,11.9
ITC,Nord-ovest,2019,100.4,103.0,341841.7,1687560.0,356.0,12.3
ITC,Nord-ovest,2020,103.4,102.7,333752.8,1708639.0,346.0,11.5
ITC,Nord-ovest,2021,106.0,104.4,350586.5,1766425.0,369.0,12.3
ITC,Nord-ovest,2022,110.6,112.5,372779.2,1720043.0,382.0,12.2
ITC,Nord-ovest,2023,112.8,119.1,393436.6,1755332.0,387.0,11.8
ITC,Nord-ovest,2024,116.3,120.0,,1796257.0,374.0,10.7
ITC,,2025,,,,1852334.0,,
ITC1,,2010,,,83901.6,,359.0,13.5
ITC1,,2011,,,85934.3,,347.0,12.9
ITC1,,2012,,,82633.5,,352.0,13.1
ITC1,,2013,,,82511.5,,362.0,13.7
ITC1,,2014,,,83035.9,,354.0,14.4
ITC1,,2015,,,83333.6,,348.0,13.8
ITC1,,2016,,99.9,84305.2,,350.0,13.9
ITC1,,2017,,100.9,86429.3,,310.0,12.3
ITC1,,2018,,102.1,87409.1,,317.0,12.3
ITC1,,2019,,102.8,87812.4,411083.0,347.0,12.6
ITC1,,2020,,102.8,84984.5,411936.0,345.0,12.1
ITC1,,2021,,104.5,88835.7,417279.0,356.0,12.5
ITC1,,2022,,112.3,93821.3,411095.0,359.0,12.6
ITC1,,2023,,119.1,99483.6,420240.0,370.0,12.3
ITC1,,2024,,120.0,,428905.0,372.0,11.4
ITC1,,2025,,,,448862.0,,
ITC11,Torino,2010,124.0,,,,,
ITC11,Torino,2011,117.5,,,,,
ITC11,Torino,2012,120.0,,,,,
ITC11,Torino,2013,112.1,,,,,
ITC11,Torino,2014,105.6,,,,,
ITC11,Torino,2015,100.0,,,,,
ITC11,Torino,2016,97.2,99.7,,,,
ITC11,Torino,2017,97.5,100.7,,,,
ITC11,Torino,2018,98.0,101.9,,,,
ITC11,Torino,2019,98.2,102.6,,210554.0,,
ITC11,Torino,2020,99.0,102.5,,210973.0,,
ITC11,Torino,2021,101.0,104.0,,213042.0,,
ITC11,Torino,2022,104.7,111.8,,208871.0,,
ITC11,Torino,2023,107.5,118.6,,214860.0,,
ITC11,Torino,2024,107.4,119.4,,219139.0,,
ITC11,,2025,,,,229334.0,,
ITC4,,2010,,,202521.4,,387.0,13.5
ITC4,,2011,,,209280.0,,391.0,13.5
ITC4,,2012,,,202791.3,,368.0,12.8
ITC4,,2013,,,203693.7,,388.0,13.7
ITC4,,2014,,,205361.5,,387.0,13.5
ITC4,,2015,,,208520.4,,383.0,13.2
ITC4,,2016,,99.8,211028.1,,371.0,13.0
ITC4,,2017,,101.0,217660.4,,338.0,11.5
ITC4,,2018,,102.3,218417.8,,353.0,11.7
ITC4,,2019,,102.9,220999.2,1130587.0,365.0,12.2
ITC4,,2020,,102.5,217077.3,1149065.0,352.0,11.2
ITC4,,2021,,104.2,228536.1,1190889.0,380.0,12.1
ITC4,,2022,,112.3,243314.2,1155393.0,400.0,11.9
ITC4,,2023,,118.5,256325.8,1176169.0,398.0,11.5
ITC4,,2024,,119.5,,1203138.0,380.0,10.4
ITC4,,2025,,,,1230362.0,,
ITC45,Milano,2010,127.9,,,,,
ITC45,Milano,2011,125.5,,,,,
ITC45,Milano,2012,119.8,,,,,
ITC45,Milano,2013,110.6,,,,,
ITC45,Milano,2014,105.1,,,,,
ITC45,Milano,2015,100.0,,,,,
ITC45,Milano,2016,103.6,99.6,,,,
ITC45,Milano,2017,107.4,101.1,,,,
ITC45,Milano,2018,110.6,102.3,,,,
ITC45,Milano,2019,120.5,103.0,,447708.0,,
ITC45,Milano,2020,135.1,102.5,,459131.0,,
ITC45,Milano,2021,140.7,104.0,,489408.0,,
ITC45,Milano,2022,150.1,112.4,,463591.0,,
ITC45,Milano,2023,158.1,119.3,,475171.0,,
ITC45,Milano,2024,166.4,120.6,,487100.0,,
ITC45,,2025,,,,495662.0,,
ITD,Nord-est,2010,116.5,,220031.7,,356.0,12.9
ITD,Nord-est,2011,118.4,,226143.0,,355.0,12.7
ITD,Nord-est,2012,115.4,,218565.6,,350.0,12.7
ITD,Nord-est,2013,108.9,,221145.6,,355.0,13.1
ITD,Nord-est,2014,103.9,,223022.1,,347.0,12.7
ITD,Nord-est,2015,100.0,,226349.4,,339.0,12.4
ITD,Nord-est,2016,99.1,100.0,230869.4,,341.0,12.1
ITD,Nord-est,2017,97.9,101.3,237412.2,,315.0,10.9
ITD,Nord-est,2018,98.5,102.5,242139.2,,323.0,11.0
ITD,Nord-est,2019,99.3,103.2,243001.0,1212857.0,333.0,11.4
ITD,Nord-est,2020,101.6,102.9,235619.6,1227963.0,331.0,10.7
ITD,Nord-est,2021,104.6,105.0,245988.1,1292299.0,339.0,11.2
ITD,Nord-est,2022,109.5,114.0,262077.6,1253480.0,345.0,10.8
ITD,Nord-est,2023,111.8,120.1,275937.9,1266775.0,370.0,10.8
ITD,Nord-est,2024,115.9,121.4,,1285148.0,337.0,9.7
ITD,,2025,,,,1306864.0,,
ITE,Centro (I),2010,125.4,,213578.6,,335.0,12.4
ITE,Centro (I),2011,128.8,,216980.7,,337.0,12.7
ITE,Centro (I),2012,124.8,,208983.0,,325.0,12.2
ITE,Centro (I),2013,114.1,,209262.3,,348.0,13.6
ITE,Centro (I),2014,104.9,,211522.2,,332.0,12.9
ITE,Centro (I),2015,100.0,,213794.9,,320.0,12.6
ITE,Centro (I),2016,100.6,99.9,217122.3,,333.0,12.8
ITE,Centro (I),2017,98.9,101.1,220410.3,,306.0,11.5
ITE,Centro (I),2018,97.1,102.2,225015.5,,308.0,11.2
ITE,Centro (I),2019,95.2,102.7,225960.2,1246779.0,309.0,11.3
ITE,Centro (I),2020,95.5,102.5,217738.5,1250276.0,290.0,10.0
ITE,Centro (I),2021,98.4,104.2,229245.9,1284499.0,316.0,11.2
ITE,Centro (I),2022,101.4,112.4,244135.0,1241133.0,325.0,11.3
ITE,Centro (I),2023,101.6,118.8,255937.1,1266873.0,327.0,10.5
ITE,Centro (I),2024,104.1,120.1,,1287968.0,321.0,10.0
ITE,,2025,,,,1322445.0,,
ITE43,Roma,2010,130.8,,,,,
ITE43,Roma,2011,137.0,,,,,
ITE43,Roma,2012,133.2,,,,,
ITE43,Roma,2013,119.3,,,,,
ITE43,Roma,2014,106.9,,,,,
ITE43,Roma,2015,100.0,,,,,
ITE43,Roma,2016,101.1,,,,,
ITE43,Roma,2017,98.9,,,,,
ITE43,Roma,2018,97.2,,,,,
ITE43,Roma,2019,94.1,,,,,
ITE43,Roma,2020,94.8,,,,,
ITE43,Roma,2021,97.2,,,,,
ITE43,Roma,2022,100.7,,,,,
ITE43,Roma,2023,101.5,,,,,
ITE43,Roma,2024,103.8,,,,,
ITF,,2010,,,,,259.0,12.0
ITF,,2011,,,,,269.0,12.8
ITF,,2012,,,,,261.0,12.3
ITF,,2013,,,,,251.0,12.2
ITF,,2014,,,,,256.0,12.5
ITF,,2015,,,,,256.0,12.6
ITF,,2016,,100.1,,,264.0,12.6
ITF,,2017,,101.2,,,252.0,11.8
ITF,,2018,,102.2,,,250.0,11.5
ITF,,2019,,102.9,,,262.0,11.9
ITF,,2020,,103.1,,,258.0,11.3
ITF,,2021,,105.3,,,270.0,11.9
ITF,,2022,,113.9,,,272.0,11.9
ITF,,2023,,120.1,,,275.0,11.2
ITF,,2024,,121.2,,,263.0,10.3
ITFG,Mezzogiorno,2010,108.9,,265949.8,,,
ITFG,Mezzogiorno,2011,111.1,,271240.6,,,
ITFG,Mezzogiorno,2012,108.3,,262758.8,,,
ITFG,Mezzogiorno,2013,103.4,,261961.6,,,
ITFG,Mezzogiorno,2014,102.3,,263333.7,,,
ITFG,Mezzogiorno,2015,100.0,,267639.3,,,
ITFG,Mezzogiorno,2016,101.0,,270053.3,,,
ITFG,Mezzogiorno,2017,100.3,,273431.2,,,
ITFG,Mezzogiorno,2018,99.4,,278297.2,,,
ITFG,Mezzogiorno,2019,98.6,,281241.5,848962.0,,
ITFG,Mezzogiorno,2020,100.1,,277727.6,852759.0,,
ITFG,Mezzogiorno,2021,101.3,,291284.7,828671.0,,
ITFG,Mezzogiorno,2022,103.9,,309958.0,816060.0,,
ITFG,Mezzogiorno,2023,104.4,,326630.1,852361.0,,
ITFG,Mezzogiorno,2024,108.3,,,884285.0,,
ITFG,,2025,,,,940783.0,,
ITG,,2010,,,,,237.0,11.6
ITG,,2011,,,,,226.0,12.0
ITG,,2012,,,,,229.0,11.9
ITG,,2013,,,,,230.0,12.1
ITG,,2014,,,,,233.0,12.2
ITG,,2015,,,,,232.0,12.3
ITG,,2016,,99.9,,,256.0,13.3
ITG,,2017,,101.3,,,237.0,12.3
ITG,,2018,,102.3,,,240.0,11.9
ITG,,2019,,102.9,,,271.0,13.1
ITG,,2020,,102.9,,,258.0,12.0
ITG,,2021,,105.2,,,257.0,11.5
ITG,,2022,,115.4,,,260.0,11.8
ITG,,2023,,122.1,,,258.0,10.8
ITG,,2024,,123.1,,,241.0,9.4
