FREQ,Frequency,REF_AREA,Territory_Ita,DATA_TYPE,Indicator,ADJUSTMENT,Adjustment (DESC),TYPE,TYPE OF ACCOM ,ECON_ACTIVITY_NACE_2007,Economic activity (NACE Rev. 2),COUNTRY_RES_GUESTS,Country of residence of guests,TIME_PERIOD,Observation,Territory,Year,Observation_Tourism
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',IT,Italy,2011,56263060
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',IT,Italy,2012,54994582
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',IT,Italy,2013,53599294
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',IT,Italy,2014,54916852
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',IT,Italy,2015,58352886
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',IT,Italy,2016,60180004
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',IT,Italy,2017,62672366
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',IT,Italy,2018,64905729
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',IT,Italy,2019,66371433
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',IT,Italy,2020,39190227
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',IT,Italy,2021,51767750
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',IT,Italy,2022,63427781
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',IT,Italy,2023,65758654
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',IT,Italy,2024,65696652
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC1,Piemonte,2011,5245637
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC1,Piemonte,2012,4733233
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC1,Piemonte,2013,4637034
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC1,Piemonte,2014,4873380
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC1,Piemonte,2015,4919308
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC1,Piemonte,2016,5049113
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC1,Piemonte,2017,5070239
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC1,Piemonte,2018,5055682
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC1,Piemonte,2019,5273804
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC1,Piemonte,2020,3037126
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC1,Piemonte,2021,4067341
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC1,Piemonte,2022,4873626
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC1,Piemonte,2023,4818684
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC1,Piemonte,2024,4763560
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",2011,132767
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",2012,130403
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",2013,125703
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",2014,126214
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",2015,131790
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",2016,139281
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",2017,145751
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",2018,144688
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",2019,144725
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",2020,80685
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",2021,117578
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",2022,139873
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",2023,145644
A,Annual,IT,Italy,AR,Arrivals,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",2024,153629
