DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Piemonte,2015,3729673,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Piemonte,2016,3477643,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Piemonte,2017,3710609,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Piemonte,2018,3929061,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Piemonte,2019,4102857,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Valle d’Aosta/Vallée d’Aoste,2015,1028149,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Valle d’Aosta/Vallée d’Aoste,2016,1077417,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Valle d’Aosta/Vallée d’Aoste,2017,1121423,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Valle d’Aosta/Vallée d’Aoste,2018,1183334,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Valle d’Aosta/Vallée d’Aoste,2019,1167102,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Liguria,2015,4005333,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Liguria,2016,4113267,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Liguria,2017,4138711,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Liguria,2018,4086209,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Liguria,2019,3937092,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Lombardia,2015,17058583,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Lombardia,2016,16845804,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Lombardia,2017,17648192,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Lombardia,2018,17525087,,
